date,away,away_score,home,home_score
10/26/2023,Tampa Bay Buccaneers,18,Buffalo Bills,24
10/29/2023,Los Angeles Rams,20,Dallas Cowboys,43
10/29/2023,Minnesota Vikings,24,Green Bay Packers,10
10/29/2023,Atlanta Falcons,23,Tennessee Titans,28
10/29/2023,New Orleans Saints,38,Indianapolis Colts,27
10/29/2023,New England Patriots,17,Miami Dolphins,31
10/29/2023,New York Jets,13,New York Giants,10
10/29/2023,Jacksonville Jaguars,20,Pittsburgh Steelers,10
10/29/2023,Philadelphia Eagles,38,Washington Commanders,31
10/29/2023,Houston Texans,13,Carolina Panthers,15
10/29/2023,Cleveland Browns,20,Seattle Seahawks,24
10/29/2023,Cincinnati Bengals,31,San Francisco 49ers,17
10/29/2023,Baltimore Ravens,31,Arizona Cardinals,24
10/29/2023,Kansas City Chiefs,9,Denver Broncos,24
10/29/2023,Chicago Bears,13,Los Angeles Chargers,30
10/30/2023,Las Vegas Raiders,14,Detroit Lions,26
