date,away,away_score,home,home_score
10/05/2023,Chicago Bears,40,Washington Commanders,20
10/08/2023,Jacksonville Jaguars,25,Buffalo Bills,20
10/08/2023,New Orleans Saints,34,New England Patriots,0
10/08/2023,Baltimore Ravens,10,Pittsburgh Steelers,17
10/08/2023,Houston Texans,19,Atlanta Falcons,21
10/08/2023,Carolina Panthers,24,Detroit Lions,42
10/08/2023,Tennessee Titans,16,Indianapolis Colts,23
10/08/2023,New York Giants,16,Miami Dolphins,31
10/08/2023,Philadelphia Eagles,23,Los Angeles Rams,14
10/08/2023,Cincinnati Bengals,34,Arizona Cardinals,20
10/08/2023,New York Jets,31,Denver Broncos,21
10/08/2023,Kansas City Chiefs,27,Minnesota Vikings,20
10/08/2023,Dallas Cowboys,10,San Francisco 49ers,42
10/09/2023,Green Bay Packers,13,Las Vegas Raiders,17
