date,away,away_score,home,home_score
09/21/2023,New York Giants,12,San Francisco 49ers,30
09/24/2023,New Orleans Saints,17,Green Bay Packers,18
09/24/2023,Los Angeles Chargers,28,Minnesota Vikings,24
09/24/2023,New England Patriots,15,New York Jets,10
09/24/2023,Denver Broncos,20,Miami Dolphins,70
09/24/2023,Indianapolis Colts,22,Baltimore Ravens,19
09/24/2023,Atlanta Falcons,6,Detroit Lions,20
09/24/2023,Buffalo Bills,37,Washington Commanders,3
09/24/2023,Houston Texans,37,Jacksonville Jaguars,17
09/24/2023,Tennessee Titans,3,Cleveland Browns,27
09/24/2023,Carolina Panthers,27,Seattle Seahawks,37
09/24/2023,Dallas Cowboys,16,Arizona Cardinals,28
09/24/2023,Chicago Bears,10,Kansas City Chiefs,41
09/24/2023,Pittsburgh Steelers,23,Las Vegas Raiders,18
09/25/2023,Philadelphia Eagles,25,Tampa Bay Buccaneers,11
09/25/2023,Los Angeles Rams,16,Cincinnati Bengals,19
