date,away,away_score,home,home_score
09/28/2023,Detroit Lions,34,Green Bay Packers,20
10/01/2023,Atlanta Falcons,7,Jacksonville Jaguars,23
10/01/2023,Cincinnati Bengals,3,Tennessee Titans,27
10/01/2023,Denver Broncos,31,Chicago Bears,28
10/01/2023,Tampa Bay Buccaneers,26,New Orleans Saints,9
10/01/2023,Pittsburgh Steelers,6,Houston Texans,30
10/01/2023,Baltimore Ravens,28,Cleveland Browns,3
10/01/2023,Washington Commanders,31,Philadelphia Eagles,34
10/01/2023,Minnesota Vikings,21,Carolina Panthers,13
10/01/2023,Miami Dolphins,20,Buffalo Bills,48
10/01/2023,Los Angeles Rams,29,Indianapolis Colts,23
10/01/2023,Las Vegas Raiders,17,Los Angeles Chargers,24
10/01/2023,Arizona Cardinals,16,San Francisco 49ers,35
10/01/2023,New England Patriots,3,Dallas Cowboys,38
10/01/2023,Kansas City Chiefs,23,New York Jets,20
10/02/2023,Seattle Seahawks,24,New York Giants,3
