date,away,away_score,home,home_score
10/12/2023,Denver Broncos,8,Kansas City Chiefs,19
10/15/2023,Baltimore Ravens,24,Tennessee Titans,16
10/15/2023,Minnesota Vikings,19,Chicago Bears,13
10/15/2023,New Orleans Saints,13,Houston Texans,20
10/15/2023,Indianapolis Colts,20,Jacksonville Jaguars,37
10/15/2023,San Francisco 49ers,17,Cleveland Browns,19
10/15/2023,Seattle Seahawks,13,Cincinnati Bengals,17
10/15/2023,Washington Commanders,24,Atlanta Falcons,16
10/15/2023,Carolina Panthers,21,Miami Dolphins,42
10/15/2023,New England Patriots,17,Las Vegas Raiders,21
10/15/2023,Detroit Lions,20,Tampa Bay Buccaneers,6
10/15/2023,Arizona Cardinals,9,Los Angeles Rams,26
10/15/2023,Philadelphia Eagles,14,New York Jets,20
10/15/2023,New York Giants,9,Buffalo Bills,14
10/16/2023,Dallas Cowboys,20,Los Angeles Chargers,17
