date,away,away_score,home,home_score
10/19/2023,Jacksonville Jaguars,31,New Orleans Saints,24
10/22/2023,Las Vegas Raiders,12,Chicago Bears,30
10/22/2023,Detroit Lions,6,Baltimore Ravens,38
10/22/2023,Cleveland Browns,39,Indianapolis Colts,38
10/22/2023,Washington Commanders,7,New York Giants,14
10/22/2023,Buffalo Bills,25,New England Patriots,29
10/22/2023,Atlanta Falcons,16,Tampa Bay Buccaneers,13
10/22/2023,Arizona Cardinals,10,Seattle Seahawks,20
10/22/2023,Pittsburgh Steelers,24,Los Angeles Rams,17
10/22/2023,Green Bay Packers,17,Denver Broncos,19
10/22/2023,Los Angeles Chargers,17,Kansas City Chiefs,31
10/22/2023,Miami Dolphins,17,Philadelphia Eagles,31
10/23/2023,San Francisco 49ers,17,Minnesota Vikings,22
